Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Swimming,F,19,N,unknown
Unprovoked,USA,Wading / fishing & carrying a bag of fish,M,11,N,bull shark
Unprovoked,USA,Wading,M,7,N,unknown
Unprovoked,USA,Surfing,M,45,N,white shark
Unprovoked,USA,Swimming,M,8,N,unknown
Unprovoked,USA,Wading,M,16,N,unknown
Unprovoked,USA,Surfing,M,44,N,unknown
Unprovoked,USA,Tandem surfing,M,28,N,mako shark
Unprovoked,USA,Surfing,M,57,N,tiger shark
Unprovoked,USA,Surfing,M,20,N,bull shark
Unprovoked,USA,Surfing,M,51,N,tiger shark
Unprovoked,USA,Surfing,F,35,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Surfing,F,13,N,tiger shark
Unprovoked,USA,Surfing,M,19,N,unknown
Unprovoked,USA,Wading near a fishing net,F,41,N,colored shark
Unprovoked,USA,Surfing,M,30,N,unknown
Unprovoked,USA,Body boarding,M,18,N,unknown
Unprovoked,USA,"Standing, stepped on shark",M,15,N,unknown
Unprovoked,USA,"Swimming, wearing black wetsuit & swim fins",F,50,N,white shark
Provoked,USA,"Walking, carrying surfboard & stepped on shark",M,10,N,unknown
Unprovoked,USA,Surfing,M,21,N,unknown
Unprovoked,USA,Surfing,M,17,N,unknown
Unprovoked,USA,Surfing,M,15,N,unknown
Unprovoked,USA,Standing,F,12,N,brown shark
Unprovoked,USA,Swimming with pod of dolphins,M,60,N,unknown
Unprovoked,USA,Swimming,M,51,N,unknown
Unprovoked,USA,Surfing,M,33,N,sand shark
Unprovoked,USA,Wading,M,22,N,unknown
Unprovoked,USA,Swimming,M,20,N,reef shark
Provoked,USA,Surfing,M,34,N,unknown
Unprovoked,USA,Surfing,M,36,N,unknown
Unprovoked,USA,Surfing,M,17,N,unknown
Unprovoked,USA,Surfing,M,30,N,unknown
Unprovoked,USA,Surfing,M,23,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Jumping,M,11,N,unknown
Unprovoked,USA,Surfing,M,12,N,unknown
Unprovoked,USA,Swimming (using a float),M,20,N,unknown
Unprovoked,USA,Surfing,M,50,N,unknown
Unprovoked,USA,Swimming,M,54,N,unknown
Unprovoked,USA,Body boarding,M,48,N,white shark
Unprovoked,USA,Swimming,F,34,N,colored shark
Unprovoked,USA,Surfing,M,21,N,unknown
Unprovoked,USA,Boogie boarding,M,16,N,unknown
Unprovoked,USA,Swimming,F,60,N,unknown
Unprovoked,USA,Surfing,M,14,N,spinner shark
Unprovoked,USA,Surfing,M,35,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Surfing,M,47,N,unknown
Unprovoked,USA,Fishing from Surfboard,M,55,N,blacktip shark
Provoked,USA,Fishing,M, ,N,blacktip shark
Unprovoked,USA,Boogie boarding or Surfing,M,24,N,unknown
Unprovoked,USA,Surfing,M,35,N,unknown
Unprovoked,USA,Boogie boarding,M,20,N,unknown
Provoked,USA,"Wading, when he stepped on the shark",M,36,N,bonnethed shark
Unprovoked,USA,Surfing,M,16,N,tiger shark
Unprovoked,USA,Surfing,M,27,N,unknown
Unprovoked,USA,Surfing,M,15,N,nurse shark
Unprovoked,USA,Standing,M,14,N,unknown
Unprovoked,USA,Surfing,M,13,N,sandbar shark
Unprovoked,USA,Swimming,F,15,N,bull shark
Provoked,USA,Shark Fishing,M,41,N,mako shark
Unprovoked,USA,Standing,F,9,N,bull shark
Unprovoked,USA,Surfing,M,28,N,tooth shark
Unprovoked,USA,Surfing,M,50,N,unknown
Unprovoked,USA,Surfing,M,24,N,white shark
Unprovoked,USA,Floating on a raft,M,16,N,unknown
Provoked,USA,"Fishing, removing the shark from his line",M,55,N,blacktip shark
Unprovoked,USA,Fishing,M,31,N,unknown
Unprovoked,USA,"Surfing, but standing in water alongside board",M,34,N,unknown
Unprovoked,USA,Wading,M,41,N,unknown
Unprovoked,USA,Swimming / Wading,M,29,N,unknown
Unprovoked,USA,Body-boarding,M,17,N,tiger shark
Unprovoked,USA,Wading,F,11,N,unknown
Unprovoked,USA,Swimming /  boogie boarding,M,20,N,unknown
Unprovoked,USA,Snorkeling,M,39,N,nurse shark
Unprovoked,USA,Surfing,M,31,N,spinner shark
Unprovoked,USA,Snorkeling,M,35,N,tiger shark
Provoked,USA,"Surfing, fell off surfboard & stepped on the shark.",M,21,N,unknown
Invalid,USA,Wreck / Technical diving,M,42,N,incident shark
Unprovoked,USA,Boogie boarding,M,6½,Y,unknown
Unprovoked,USA,Swimming,M,28,Y,white shark
Unprovoked,USA,Swimming,F,23,Y,white shark
Unprovoked,USA,Wading,M,20,Y,unknown
Unprovoked,USA,Swimming,M,10,Y,bull shark
Unprovoked,USA,Surfing,M,17,Y,unknown
Unprovoked,USA,Surfing,M,20,Y,spinner shark
Unprovoked,USA,Surfing,M,19,Y,blacktip shark
Unprovoked,USA,Surfing,M,19,Y,blacktip shark
Unprovoked,USA,Boogie boarding,M,18,Y,unknown
Unprovoked,USA,Swimming,M,8,Y,bull shark
Unprovoked,USA,Swimming,M,14,Y,unknown
Provoked,USA,Spearfishing,M,52,Y,white shark
Unprovoked,USA,Wading,F,29,Y,unknown
Unprovoked,USA,Swimming,M,11,Y,unknown
